nick;nome;nacionalidade;time;funcao;win_rate;round_win_rate;loss_rate;kpr;survival;kast;impact;adr;clutch_points;;
ZywOo;Mathieu Herbaut;França;Vitality;AWPer;72;55;27;0.84;42;75;1.3;82.5;0.03;;
KSCERATO;Kaike Cerato;Brasil;FURIA;Rifler;69;53;28;0.79;40;74;1.2;80.2;0.03;;
huNter-;Nemanja Kovač;Bósnia e Herzegovina;G2;Rifler;69;53;28;0.77;39;73;1.15;77.4;0.03;;
yuurih;Yuri Santos;Brasil;FURIA;Rifler;68;52;28;0.74;40;73;1.11;75.1;0.03;;
Jame;Dzhami Ali;Rússia;Outsiders;AWPer/IGL;65;50;30;0.7;45;75;1.08;72.4;0.04;;
Perfecto;Ilya Zalutskiy;Rússia;NAVI;Anchor;74;55;26;0.73;44;77;1.08;73.5;0.04;;
NAF;Keith Markovic;Canadá;Liquid;Rifler;67;52;29;0.74;42;75;1.1;76;0.03;;
sjuush;Rasmus Beck;Dinamarca;Heroic;Anchor;68;52;28;0.72;43;76;1.05;73;0.04;;
karrigan;Finn Andersen;Dinamarca;FaZe;IGL;72;54;27;0.67;39;72;1;70.5;0.04;;
cadiaN;Casper Møller;Dinamarca;Heroic;AWPer/IGL;68;51;29;0.7;41;73;1.06;72.8;0.04;;
Magisk;Emil Reif;Dinamarca;Vitality;Rifler;66;51;30;0.73;41;74;1.08;75;0.03;;
dupreeh;Peter Rasmussen;Dinamarca;Vitality;Rifler;66;50;30;0.7;40;72;1.04;73;0.03;;
torzsi;Ádám Torzsás;Hungria;MOUZ;AWPer;64;50;31;0.72;39;71;1.07;74;0.03;;
syrsoN;Owen Butterfield;Alemanha;BIG;AWPer;63;49;31;0.71;41;72;1.05;73.2;0.03;;
arT;Andrei Piovezan;Brasil;FURIA;IGL/Rifler;68;51;29;0.7;37;70;1.03;72;0.04;;
chelo;Marcelo Cespedes;Brasil;MIBR;Rifler;62;49;32;0.73;38;71;1.07;74.5;0.03;;
saffee;Rafael Costa;Brasil;FURIA;AWPer;68;51;29;0.71;40;72;1.05;74;0.03;;
JDC;Jon de Castro;Alemanha;MOUZ;Rifler;63;49;31;0.69;39;71;1.01;70.8;0.03;;
dexter;Christopher Nong;Austrália;MOUZ;IGL;63;48;32;0.66;40;70;0.98;68.5;0.04;;
Patsi;Pavel Iskhakov;Rússia;Spirit;Entry Fragger;67;51;29;0.75;38;72;1.1;76.2;0.03;;
